CIDADE;LATITUDE;LONGITUDE;POPULAÇÃO
GUARATINGUETA;-22,8080052;-45,1792388;118044
GUARATINGUETA;-22,77378603;-45,18972516;118044
GUARATINGUETA;-22,80607614;-45,24609276;118044
GUARATINGUETA;-22,7959153;-45,1752675;118044
GUARATINGUETA;-22,79671634;-45,17777735;118044
GUARATINGUETA;-22,7710237;-45,1913429;118044
GUARATINGUETA;-22,8171695;-45,1835983;118044
GUARATINGUETA;-22,82235997;-45,19293064;118044
GUARATINGUETA;-22,8164579;-45,183016;118044
GUARATINGUETA;-22,8216805;-45,2739769;118044
GUARATINGUETA;-22,77307465;-45,18945236;118044
GUARATINGUETA;-22,79674387;-45,17791408;118044
GUARATINGUETA;-22,79674387;-45,17791408;118044
GUARATINGUETA;-22,82886841;-45,19597979;118044
GUARATINGUETA;-22,8129204;-45,1983871;118044
GUARATINGUETA;-22,79860463;-45,2093042;118044
GUARATINGUETA;-22,80859571;-45,1791537;118044
GUARATINGUETA;-22,78716559;-45,20740393;118044
GUARATINGUETA;-22,78752453;-45,15209427;118044
GUARATINGUETA;-22,78801579;-45,15166362;118044
GUARATINGUETA;-22,78752453;-45,15209427;118044
GUARATINGUETA;-22,82514991;-45,19582195;118044
GUARATINGUETA;-22,82128657;-45,18881671;118044
GUARATINGUETA;-22,80607614;-45,24609276;118044
GUARATINGUETA;-22,7978707;-45,224024;118044
GUARATINGUETA;-22,8062164;-45,2333188;118044
GUARATINGUETA;-22,79860463;-45,2093042;118044
GUARATINGUETA;-22,7993642;-45,2116769;118044
GUARATINGUETA;-22,801342;-45,2073325;118044
GUARATINGUETA;-22,79708764;-45,17486348;118044
GUARATINGUETA;-22,79671634;-45,17777735;118044
GUARATINGUETA;-22,8206148;-45,20371758;118044
GUARATINGUETA;-22,7892582;-45,17939353;118044
GUARATINGUETA;-22,802093;-45,1729575;118044
GUARATINGUETA;-22,7959153;-45,1752675;118044
GUARATINGUETA;-22,80394023;-45,19659877;118044
GUARATINGUETA;-22,87091494;-45,20654072;118044
GUARATINGUETA;-22,81926171;-45,19245161;118044
GUARATINGUETA;-22,82886841;-45,19597979;118044
GUARATINGUETA;-22,8056126;-45,200451;118044
GUARATINGUETA;-22,81087552;-45,24109737;118044
GUARATINGUETA;-22,81071087;-45,18283538;118044
GUARATINGUETA;-22,8036913;-45,1859219;118044
GUARATINGUETA;-22,7861535;-45,1769947;118044
GUARATINGUETA;-22,802093;-45,1729575;118044
